idindikator;mes;god;IDTer;nTer;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040110IND02;01;2021;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;81390;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2021;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;112116;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2021;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;86239;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2021;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;99879;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2021;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;105122;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2021;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;89834;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2021;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;104298;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2021;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;108776;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2021;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;108862;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2021;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;81845;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;0;Total;97877;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;107986;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;0_JS;Public sector;108721;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;93334;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;118620;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;93206;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;108954;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;113579;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;96783;RSD;RSD;SORS;Average gross earnings;A;Normal value
