idindikator;IDTer;nTer;mes;god;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2006;0_VJS;Non-public sector;22602;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2006;1_JD;Public state enterprises;38813;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2006;2_JL;Public local enterprises;32440;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2006;3_4_5_BK;General government;28510;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2006;3_ZS;Health and social work;20883;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2006;4_OK;Education and culture;32258;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2006;5_AD;Administration - all levels;39209;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2006;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2006;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2006;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;0;Total;33770;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;0_JP_JD_JL;Public enterprises;52717;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;0_JS;Public sector;40886;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;0_VJS;Non-public sector;27126;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;1_JD;Public state enterprises;59690;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;2_JL;Public local enterprises;40819;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;3_4_5_BK;General government;34874;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;3_ZS;Health and social work;27515;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;4_OK;Education and culture;38199;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;5_AD;Administration - all levels;45285;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2007;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;0;Total;39331;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;0_JP_JD_JL;Public enterprises;52180;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;0_JS;Public sector;45164;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;0_VJS;Non-public sector;33355;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;1_JD;Public state enterprises;56325;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;2_JL;Public local enterprises;45027;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;3_4_5_BK;General government;41728;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;3_ZS;Health and social work;32530;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;4_OK;Education and culture;47184;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;5_AD;Administration - all levels;51942;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2008;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;0;Total;40245;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;0_JP_JD_JL;Public enterprises;58680;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;0_JS;Public sector;49715;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;0_VJS;Non-public sector;32602;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;1_JD;Public state enterprises;62923;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;2_JL;Public local enterprises;51310;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;3_4_5_BK;General government;45414;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;3_ZS;Health and social work;35608;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;4_OK;Education and culture;50054;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;5_AD;Administration - all levels;58669;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2009;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;0;Total;41651;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;0_JP_JD_JL;Public enterprises;60612;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;0_JS;Public sector;49335;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;0_VJS;Non-public sector;35254;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;1_JD;Public state enterprises;67378;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;2_JL;Public local enterprises;50110;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;3_4_5_BK;General government;44401;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;3_ZS;Health and social work;35621;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;4_OK;Education and culture;50018;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;5_AD;Administration - all levels;53049;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2010;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;0;Total;47382;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;0_JP_JD_JL;Public enterprises;71947;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;0_JS;Public sector;55094;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;0_VJS;Non-public sector;40664;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;1_JD;Public state enterprises;84620;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;2_JL;Public local enterprises;52890;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;3_4_5_BK;General government;47908;RSD;RSD;SORS;Average gross earnings;A;Normal value
