idindikator;IDTer;nTer;mes;god;IDModalitetZarZap;nModalitetZarZap;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2021;2;Salaries and wages of employees in temporary and occasional employment;56756;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2022;0;Total;97634;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;98051;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2022;2;Salaries and wages of employees in temporary and occasional employment;61815;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2023;0;Total;113217;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;113682;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2023;2;Salaries and wages of employees in temporary and occasional employment;69510;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2024;0;Total;131151;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;131655;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2024;2;Salaries and wages of employees in temporary and occasional employment;82141;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2025;0;Total;145676;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2025;1;Salaries and wages of employees with indefinite or fixed-term employment contract;146223;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2025;2;Salaries and wages of employees in temporary and occasional employment;91245;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2026;0;Total;161724;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2026;1;Salaries and wages of employees with indefinite or fixed-term employment contract;162308;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;02;2026;2;Salaries and wages of employees in temporary and occasional employment;102417;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2018;0;Total;67850;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;68221;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2018;2;Salaries and wages of employees in temporary and occasional employment;46687;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2019;0;Total;74132;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;74559;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2019;2;Salaries and wages of employees in temporary and occasional employment;49802;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2020;0;Total;81817;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;82233;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2020;2;Salaries and wages of employees in temporary and occasional employment;53990;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2021;0;Total;87611;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;87976;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2021;2;Salaries and wages of employees in temporary and occasional employment;58008;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2022;0;Total;99356;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;99787;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2022;2;Salaries and wages of employees in temporary and occasional employment;63218;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2023;0;Total;114708;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;115184;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2023;2;Salaries and wages of employees in temporary and occasional employment;71528;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2024;0;Total;131893;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;132423;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2024;2;Salaries and wages of employees in temporary and occasional employment;81863;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2025;0;Total;146669;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2025;1;Salaries and wages of employees with indefinite or fixed-term employment contract;147242;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;03;2025;2;Salaries and wages of employees in temporary and occasional employment;91020;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2018;0;Total;67863;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;68240;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2018;2;Salaries and wages of employees in temporary and occasional employment;46570;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2019;0;Total;74462;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;74890;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2019;2;Salaries and wages of employees in temporary and occasional employment;50074;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2020;0;Total;81734;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;82124;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2020;2;Salaries and wages of employees in temporary and occasional employment;54202;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2021;0;Total;88108;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;88478;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2021;2;Salaries and wages of employees in temporary and occasional employment;58216;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2022;0;Total;99700;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;100142;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2022;2;Salaries and wages of employees in temporary and occasional employment;62895;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2023;0;Total;114939;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;115428;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2023;2;Salaries and wages of employees in temporary and occasional employment;70820;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2024;0;Total;132260;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;132799;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2024;2;Salaries and wages of employees in temporary and occasional employment;82331;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2025;0;Total;147698;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2025;1;Salaries and wages of employees with indefinite or fixed-term employment contract;148279;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;04;2025;2;Salaries and wages of employees in temporary and occasional employment;91623;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2018;0;Total;68232;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;68612;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2018;2;Salaries and wages of employees in temporary and occasional employment;46994;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2019;0;Total;74876;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;75304;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2019;2;Salaries and wages of employees in temporary and occasional employment;50476;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2020;0;Total;81679;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;82062;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2020;2;Salaries and wages of employees in temporary and occasional employment;54202;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2021;0;Total;88433;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;88808;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2021;2;Salaries and wages of employees in temporary and occasional employment;58182;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2022;0;Total;100250;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;100708;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2022;2;Salaries and wages of employees in temporary and occasional employment;62797;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2023;0;Total;115754;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;116247;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2023;2;Salaries and wages of employees in temporary and occasional employment;71617;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2024;0;Total;133477;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;134025;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2024;2;Salaries and wages of employees in temporary and occasional employment;82969;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2025;0;Total;147945;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2025;1;Salaries and wages of employees with indefinite or fixed-term employment contract;148530;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;05;2025;2;Salaries and wages of employees in temporary and occasional employment;92096;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2018;0;Total;68201;RSD;RSD;SORS;Average gross earnings;A;Normal value
