idindikator;IDTer;nTer;IDJavniSEK;nJavniSEK;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040404IND02;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2006;27104;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2006;42018;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2006;38372;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2006;35091;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2006;33096;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2006;33826;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2006;42359;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2006;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2006;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2006;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;0;Total;00;2007;38744;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2007;48562;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2007;45379;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2007;32314;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2007;51995;RSD;RSD;SORS;Average gross earnings;A;Normal value
