idindikator;IDTer;nTer;IDModalitetZarZap;nModalitetZarZap;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2021;56085;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2022;97392;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2022;97827;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2022;61410;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2023;112212;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2023;112693;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2023;69094;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2024;129934;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2024;130463;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2024;80875;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2025;142908;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2025;143493;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2025;87638;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2026;160067;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2026;160691;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2026;99940;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2018;68251;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2018;68635;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2018;47553;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2019;74755;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2019;75203;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2019;50545;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2020;82320;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2020;82707;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2020;54637;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2021;89894;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2021;90269;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2021;60383;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2022;102781;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2022;103244;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2022;65813;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2023;117669;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2023;118169;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2023;75158;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2024;133373;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2024;133953;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2024;81351;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2025;148652;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2025;149282;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2025;90604;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2018;67901;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2018;68294;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;04;2018;46235;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2019;75441;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2019;75872;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;04;2019;50880;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2020;81486;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2020;81803;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;04;2020;54988;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2021;89582;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2021;89967;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;04;2021;58822;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2022;100727;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2022;101199;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;04;2022;61953;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2023;115631;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2023;116157;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;04;2023;68749;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2024;133356;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2024;133924;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;04;2024;83623;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2025;150777;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2025;151381;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;04;2025;93390;RSD;RSD;SORS;Average gross earnings;A;Normal value
