idindikator;mes;god;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040403IND01;00;2018;70670;Kruševac;42981;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70688;Kuršumlija;41000;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70696;Kučevo;39125;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70700;Lajkovac;59080;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70718;Lebane;37711;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70726;Leskovac;39999;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70734;Loznica;39641;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70742;Lučani;52659;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70769;Ljig;45834;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70777;Ljubovija;43717;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70785;Majdanpek;49202;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70793;Mali Zvornik;40757;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70807;Malo Crniće;39156;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70815;Medveđa;45143;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70823;Merošina;36776;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70831;Mionica;40340;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70840;Negotin;42331;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70866;Nova Varoš;40590;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70874;Novi Pazar;37440;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70882;Osečina;39402;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70904;Paraćin;40506;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70912;Petrovac na Mlavi;37585;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70939;Pirot;51968;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70947;Požarevac;50440;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70955;Požega;42438;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70963;Preševo;38280;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70971;Priboj;40306;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70980;Prijepolje;38684;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70998;Prokuplje;41068;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71005;Ražanj;36110;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71013;Rača;39917;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71021;Raška;40635;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71030;Rekovac;39554;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71048;Jagodina;40589;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71056;Svilajnac;39390;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71064;Svrljig;32152;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71072;Sjenica;41404;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71099;Smederevo;49611;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71102;Smederevska Palanka;42272;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71129;Sokobanja;41610;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71137;Surdulica;41276;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71145;Užice;47881;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71153;Topola;40056;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71161;Trgovište;40986;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71170;Trstenik;39466;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71188;Tutin;39574;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71196;Ćićevac;36751;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71200;Ćuprija;40024;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71218;Ub;46507;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71226;Crna Trava;38610;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71234;Čajetina;39020;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71242;Čačak;43260;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71269;Šabac;44150;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71277;Lapovo;40392;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71285;Niška Banja;37790;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71293;Surčin;44440;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71307;Pantelej;43416;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71315;Crveni Krst;40985;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;71323;Palilula (Niš);43223;RSD;RSD;SORS;Average net earnings;A;Normal value
