idindikator;mes;god;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040103IND01;01;2018;70670;Kruševac;43537;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70688;Kuršumlija;41554;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70696;Kučevo;40054;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70700;Lajkovac;61068;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70718;Lebane;38525;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70726;Leskovac;40650;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70734;Loznica;40768;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70742;Lučani;50125;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70769;Ljig;47186;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70777;Ljubovija;44532;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70785;Majdanpek;49064;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70793;Mali Zvornik;41371;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70807;Malo Crniće;40113;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70815;Medveđa;45716;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70823;Merošina;37415;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70831;Mionica;40522;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70840;Negotin;42991;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70866;Nova Varoš;41016;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70874;Novi Pazar;38423;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70882;Osečina;39594;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70904;Paraćin;40720;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70912;Petrovac na Mlavi;38568;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70939;Pirot;50190;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70947;Požarevac;51382;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70955;Požega;42343;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70963;Preševo;39091;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70971;Priboj;42732;RSD;RSD;SORS;Average net earnings;A;Normal value
