idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021308IND01;70165;Lazarevac;K1;2016;0;Total;20919;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70165;Lazarevac;K1;2016;1;Male;12403;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70165;Lazarevac;K1;2016;2;Female;8516;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70173;Mladenovac;K1;2016;0;Total;13991;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70173;Mladenovac;K1;2016;1;Male;7431;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70173;Mladenovac;K1;2016;2;Female;6559;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70181;Novi Beograd;K1;2016;0;Total;80579;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70181;Novi Beograd;K1;2016;1;Male;39056;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70181;Novi Beograd;K1;2016;2;Female;41523;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70190;Obrenovac;K1;2016;0;Total;20924;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70190;Obrenovac;K1;2016;1;Male;11983;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70190;Obrenovac;K1;2016;2;Female;8941;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70203;Palilula (Beograd);K1;2016;0;Total;61322;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70203;Palilula (Beograd);K1;2016;1;Male;30803;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70203;Palilula (Beograd);K1;2016;2;Female;30520;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70211;Rakovica;K1;2016;0;Total;37266;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70211;Rakovica;K1;2016;1;Male;18114;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70211;Rakovica;K1;2016;2;Female;19152;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70220;Savski venac;K1;2016;0;Total;15520;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70220;Savski venac;K1;2016;1;Male;7586;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
