idindikator;mes;god;IDTer;nTer;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040110IND01;01;2021;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;59250;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2021;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;80477;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2021;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;62239;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2021;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;71821;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2021;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;75504;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2021;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;64788;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2021;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;74905;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2021;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;78066;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2021;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;78048;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2021;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;59061;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;0;Total;70920;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;77681;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;0_JS;Public sector;78155;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;67889;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;85192;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;67240;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;78306;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;81620;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;69749;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;83146;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;86933;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;84227;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2022;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;64355;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;0;Total;82769;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;86677;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;0_JS;Public sector;87313;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;80921;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;92849;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;78125;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;87514;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;87813;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;79122;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;95046;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;99467;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;95073;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2023;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;73199;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;0;Total;95836;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;102960;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;0_JS;Public sector;101419;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;93581;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;110650;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;92405;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;100940;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;100370;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;92793;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;108819;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;113932;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;107912;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2024;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;83341;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;0;Total;107476;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;117148;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;0_JS;Public sector;112487;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;105463;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;126731;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;104086;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;111060;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;109855;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;102735;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;119888;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;125242;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;117528;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2025;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;93200;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;0;Total;118429;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;133516;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;0_JS;Public sector;126554;RSD;RSD;SORS;Average net earnings;A;Normal value
