idindikator;IDTer;nTer;IDZarStatusPS;nZarStatusPS;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;02;2022;36186;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2023;81359;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;02;2023;86859;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;02;2023;41397;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2024;94125;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;02;2024;100344;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;02;2024;48951;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2025;103519;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;02;2025;110481;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;02;2025;53967;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2026;116127;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;02;2026;123624;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;02;2026;62462;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2018;49400;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2018;52329;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2018;26714;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2019;54271;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2019;57779;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2019;28130;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2020;59681;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2020;63501;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2020;31989;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2021;65289;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2021;69680;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2021;34452;RSD;RSD;SORS;Average net earnings;A;Normal value
