idindikator;IDTer;nTer;IDModalitetZarZap;nModalitetZarZap;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2022;70605;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2022;70938;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2022;43025;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2023;81359;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2023;81727;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2023;48404;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2024;94125;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2024;94529;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2024;56649;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2025;103519;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2025;103964;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2025;61376;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2026;116127;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2026;116606;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2026;69982;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2018;49400;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2018;49697;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2018;33332;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2019;54271;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2019;54620;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2019;35427;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2020;59681;RSD;RSD;SORS;Average net earnings;A;Normal value
