municipality_code,municipality_name,earnings_type,macro_region_name,statistical_region_name,administrative_district_name,local_unit_type,city_group_name,avg_2025_value_rsd
70319,Boljevac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,132984.0
70319,Boljevac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,95954.58
70327,Bor,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,175805.84
70327,Bor,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,126452.92
70335,Bosilegrad,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,109589.33
70335,Bosilegrad,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,79126.67
70343,Brus,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,115946.0
70343,Brus,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,84082.75
70351,Bujanovac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,109516.42
70351,Bujanovac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,79402.58
70360,Valjevo,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,134389.25
70360,Valjevo,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,97044.08
70378,Varvarin,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,114964.67
70378,Varvarin,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,83153.25
70386,Velika Plana,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Podunavska oblast,municipality,,122293.67
70386,Velika Plana,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Podunavska oblast,municipality,,88545.08
70394,Veliko Gradište,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,116693.0
70394,Veliko Gradište,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,84123.5
70408,Vladimirci,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,116356.17
70408,Vladimirci,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,84588.75
70416,Vladičin Han,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,120112.08
70416,Vladičin Han,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,86932.83
70424,Vlasotince,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,105433.75
70424,Vlasotince,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,76484.08
70432,Vranje,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,city_municipality,Grad Vranje,119277.33
70432,Vranje,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,city_municipality,Grad Vranje,86379.25
70459,Vrnjačka Banja,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,115743.83
70459,Vrnjačka Banja,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,83713.92
70467,Gadžin Han,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,108328.42
70467,Gadžin Han,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,78625.08
70475,Golubac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,113762.25
70475,Golubac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,82227.42
70483,Gornji Milanovac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,134240.91
70483,Gornji Milanovac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,96971.5
70491,Despotovac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,118085.75
70491,Despotovac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,85321.92
70505,Dimitrovgrad,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,115013.42
70505,Dimitrovgrad,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,83525.17
70513,Doljevac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,111743.0
70513,Doljevac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,81139.75
70521,Žabari,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,112926.5
70521,Žabari,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,82026.67
70530,Žagubica,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,124356.17
70530,Žagubica,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,89993.58
70548,Žitorađa,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,111474.58
70548,Žitorađa,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,80886.75
70556,Zaječar,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,133788.58
70556,Zaječar,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,96700.92
70564,Ivanjica,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,113629.67
70564,Ivanjica,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,82488.33
70572,Kladovo,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,129472.17
