municipality_code,municipality_name,year,quarter,earnings_type,territory_level,territory_level_order,parent_territory_code,parent_territory_name,country_code,country_name,macro_region_code,macro_region_name,statistical_region_code,statistical_region_name,administrative_district_code,administrative_district_name,local_unit_type,city_group_code,city_group_name,quarterly_avg_value_rsd,months_in_quarter,is_complete_quarter,month_list,min_month_value_rsd,max_month_value_rsd
70017,Aleksandrovac,2020,Q2,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,44796.33,3,True,"04,05,06",44528,45177
70017,Aleksandrovac,2020,Q3,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,63042,3,True,"07,08,09",61243,65066
70017,Aleksandrovac,2020,Q3,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,45577.33,3,True,"07,08,09",44310,46990
70017,Aleksandrovac,2020,Q4,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,64121,3,True,"10,11,12",61652,68612
70017,Aleksandrovac,2020,Q4,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,46462.67,3,True,"10,11,12",44615,49859
70017,Aleksandrovac,2021,Q1,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,66159,3,True,"01,02,03",64721,68825
70017,Aleksandrovac,2021,Q1,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,47959.67,3,True,"01,02,03",46920,49863
70017,Aleksandrovac,2021,Q2,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,68180.67,3,True,"04,05,06",67712,69072
70017,Aleksandrovac,2021,Q2,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,49387,3,True,"04,05,06",49027,50071
70017,Aleksandrovac,2021,Q3,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,68965,3,True,"07,08,09",68230,69703
70017,Aleksandrovac,2021,Q3,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,50012.33,3,True,"07,08,09",49396,50679
70017,Aleksandrovac,2021,Q4,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,73722.33,3,True,"10,11,12",69537,79133
70017,Aleksandrovac,2021,Q4,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,53586,3,True,"10,11,12",50359,57900
70017,Aleksandrovac,2022,Q1,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,74194,3,True,"01,02,03",72985,75159
70017,Aleksandrovac,2022,Q1,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,53732,3,True,"01,02,03",52864,54420
70017,Aleksandrovac,2022,Q2,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,74941.33,3,True,"04,05,06",72587,77159
70017,Aleksandrovac,2022,Q2,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,54252.67,3,True,"04,05,06",52606,55800
70017,Aleksandrovac,2022,Q3,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,75417.67,3,True,"07,08,09",73951,76238
70017,Aleksandrovac,2022,Q3,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,54640,3,True,"07,08,09",53612,55168
