municipality_code,municipality_name,earnings_type,macro_region_name,statistical_region_name,administrative_district_name,local_unit_type,city_group_name,from_year,from_quarter,to_year,to_quarter,from_value_rsd,to_value_rsd,change_pct,abs_change_pct
71064,Svrljig,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,2019,Q3,2019,Q4,35138.0,39946.67,13.69,13.69
80225,Kovin,gross,SRBIJA – SEVER,Region Vojvodine,Južnobanatska oblast,municipality,,2019,Q2,2019,Q3,66416.67,75468.67,13.63,13.63
71064,Svrljig,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,2019,Q3,2019,Q4,48411.33,54888.0,13.38,13.38
70220,Savski venac,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,2018,Q4,2019,Q1,69653.0,78958.0,13.36,13.36
70491,Despotovac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,2019,Q3,2019,Q4,64303.67,72884.67,13.34,13.34
71366,Sevojno,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,city_municipality,Grad Užice,2022,Q3,2022,Q4,63023.0,71269.33,13.08,13.08
70939,Pirot,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,2024,Q1,2024,Q2,115727.0,130811.67,13.03,13.03
70939,Pirot,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,2024,Q1,2024,Q2,83549.0,94404.67,12.99,12.99
71366,Sevojno,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,city_municipality,Grad Užice,2022,Q3,2022,Q4,87829.0,99209.67,12.96,12.96
70408,Vladimirci,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,2025,Q3,2025,Q4,82561.67,93245.0,12.94,12.94
