municipality_code,municipality_name,earnings_type,macro_region_name,statistical_region_name,administrative_district_name,local_unit_type,city_group_name,value_2018_rsd,value_2025_rsd,absolute_growth_rsd,growth_pct
70238,Sopot,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,41867.0,94299.0,52432.0,125.23
70246,Stari grad,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,102793.0,255495.0,152702.0,148.55
70246,Stari grad,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,74332.0,187785.0,113453.0,152.63
70254,Čukarica,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,82053.0,179883.0,97830.0,119.23
70254,Čukarica,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,59273.0,130315.0,71042.0,119.86
70262,Blace,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,52142.0,109361.0,57219.0,109.74
70262,Blace,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,37919.0,79317.0,41398.0,109.17
70289,Bogatić,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,53339.0,114774.0,61435.0,115.18
70289,Bogatić,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,38712.0,83259.0,44547.0,115.07
70297,Bojnik,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,49887.0,103243.0,53356.0,106.95
70297,Bojnik,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,36290.0,74982.0,38692.0,106.62
70319,Boljevac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,59721.0,132940.0,73219.0,122.6
70319,Boljevac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,43260.0,95921.0,52661.0,121.73
70327,Bor,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,73589.0,175793.0,102204.0,138.88
70327,Bor,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,53023.0,126444.0,73421.0,138.47
70335,Bosilegrad,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,54151.0,109406.0,55255.0,102.04
70335,Bosilegrad,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,39340.0,78994.0,39654.0,100.8
70343,Brus,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,52032.0,115947.0,63915.0,122.84
70343,Brus,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,37810.0,84085.0,46275.0,122.39
70351,Bujanovac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,52617.0,109503.0,56886.0,108.11
70351,Bujanovac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,38286.0,79392.0,41106.0,107.37
70360,Valjevo,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,61524.0,134345.0,72821.0,118.36
70360,Valjevo,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,44508.0,97011.0,52503.0,117.96
70378,Varvarin,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,50011.0,114972.0,64961.0,129.89
70378,Varvarin,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,36260.0,83158.0,46898.0,129.34
70386,Velika Plana,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Podunavska oblast,municipality,,57038.0,122301.0,65263.0,114.42
70386,Velika Plana,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Podunavska oblast,municipality,,41362.0,88550.0,47188.0,114.09
70394,Veliko Gradište,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,53646.0,116681.0,63035.0,117.5
70394,Veliko Gradište,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,38708.0,84114.0,45406.0,117.3
70408,Vladimirci,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,52304.0,116352.0,64048.0,122.45
70408,Vladimirci,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,38068.0,84585.0,46517.0,122.19
70416,Vladičin Han,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,56838.0,120104.0,63266.0,111.31
70416,Vladičin Han,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,41240.0,86927.0,45687.0,110.78
70424,Vlasotince,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,48332.0,105413.0,57081.0,118.1
70424,Vlasotince,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,35243.0,76469.0,41226.0,116.98
70432,Vranje,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,city_municipality,Grad Vranje,58450.0,119243.0,60793.0,104.01
70432,Vranje,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,city_municipality,Grad Vranje,42356.0,86353.0,43997.0,103.87
70459,Vrnjačka Banja,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,53212.0,115765.0,62553.0,117.55
70459,Vrnjačka Banja,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,38544.0,83730.0,45186.0,117.23
70467,Gadžin Han,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,47156.0,108273.0,61117.0,129.61
70467,Gadžin Han,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,34391.0,78586.0,44195.0,128.51
70475,Golubac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,53235.0,113712.0,60477.0,113.6
70475,Golubac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,38636.0,82191.0,43555.0,112.73
70483,Gornji Milanovac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,64031.0,134241.0,70210.0,109.65
70483,Gornji Milanovac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,46307.0,96971.0,50664.0,109.41
70491,Despotovac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,60401.0,118054.0,57653.0,95.45
70491,Despotovac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,43753.0,85298.0,41545.0,94.95
70505,Dimitrovgrad,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,52620.0,114928.0,62308.0,118.41
70505,Dimitrovgrad,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,38230.0,83458.0,45228.0,118.3
70513,Doljevac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,50468.0,111597.0,61129.0,121.12
70513,Doljevac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,36834.0,81036.0,44202.0,120.0
70521,Žabari,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,49909.0,112956.0,63047.0,126.32
70521,Žabari,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,36275.0,82049.0,45774.0,126.19
70530,Žagubica,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,58220.0,124385.0,66165.0,113.65
70530,Žagubica,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,42161.0,90016.0,47855.0,113.51
70548,Žitorađa,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,53086.0,111279.0,58193.0,109.62
70548,Žitorađa,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,38611.0,80746.0,42135.0,109.13
70556,Zaječar,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,60466.0,133755.0,73289.0,121.21
70556,Zaječar,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,43695.0,96675.0,52980.0,121.25
70564,Ivanjica,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,50481.0,113600.0,63119.0,125.04
70564,Ivanjica,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,36863.0,82467.0,45604.0,123.71
70572,Kladovo,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,62961.0,129342.0,66381.0,105.43
70572,Kladovo,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,45458.0,93355.0,47897.0,105.37
70599,Knić,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,57360.0,120697.0,63337.0,110.42
70599,Knić,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,41627.0,87345.0,45718.0,109.83
70602,Knjaževac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,51518.0,113421.0,61903.0,120.16
70602,Knjaževac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,37490.0,82165.0,44675.0,119.17
70629,Kosjerić,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,60791.0,126699.0,65908.0,108.42
70629,Kosjerić,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,43974.0,91323.0,47349.0,107.67
70637,Koceljeva,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,52350.0,115624.0,63274.0,120.87
70637,Koceljeva,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,38036.0,83754.0,45718.0,120.2
70645,Kragujevac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,66531.0,143461.0,76930.0,115.63
70645,Kragujevac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,48079.0,103636.0,55557.0,115.55
70653,Kraljevo,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,58968.0,126617.0,67649.0,114.72
70653,Kraljevo,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,42708.0,91579.0,48871.0,114.43
70661,Krupanj,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,50441.0,115622.0,65181.0,129.22
70661,Krupanj,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,36703.0,83747.0,47044.0,128.17
70670,Kruševac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,59341.0,133598.0,74257.0,125.14
70670,Kruševac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,42981.0,96585.0,53604.0,124.72
70688,Kuršumlija,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,56595.0,120246.0,63651.0,112.47
70688,Kuršumlija,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,41000.0,87017.0,46017.0,112.24
70696,Kučevo,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,54024.0,123581.0,69557.0,128.75
70696,Kučevo,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,39125.0,89118.0,49993.0,127.78
70700,Lajkovac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,82262.0,141746.0,59484.0,72.31
70700,Lajkovac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,59080.0,102126.0,43046.0,72.86
70718,Lebane,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,51982.0,108234.0,56252.0,108.21
70718,Lebane,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,37711.0,78430.0,40719.0,107.98
