source_file,indicator_code,indicator_name,earnings_type,municipality_code,municipality_name,year,value_rsd,unit_code,unit_name,status_code,status_name,source_org
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70459,Vrnjačka Banja,2018,38544,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70467,Gadžin Han,2018,34391,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70475,Golubac,2018,38636,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70483,Gornji Milanovac,2018,46307,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70491,Despotovac,2018,43753,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70505,Dimitrovgrad,2018,38230,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70513,Doljevac,2018,36834,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70521,Žabari,2018,36275,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70530,Žagubica,2018,42161,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70548,Žitorađa,2018,38611,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70556,Zaječar,2018,43695,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70564,Ivanjica,2018,36863,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70572,Kladovo,2018,45458,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70599,Knić,2018,41627,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70602,Knjaževac,2018,37490,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70629,Kosjerić,2018,43974,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70637,Koceljeva,2018,38036,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70645,Kragujevac,2018,48079,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70653,Kraljevo,2018,42708,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70661,Krupanj,2018,36703,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70670,Kruševac,2018,42981,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70688,Kuršumlija,2018,41000,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70696,Kučevo,2018,39125,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70700,Lajkovac,2018,59080,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70718,Lebane,2018,37711,RSD,RSD,A,Normal value,SORS
