territory_code,territory_name,territory_level,territory_level_order,parent_territory_code,parent_territory_name,country_code,country_name,macro_region_code,macro_region_name,statistical_region_code,statistical_region_name,administrative_district_code,administrative_district_name,local_unit_type,city_group_code,city_group_name,is_in_raw_municipality_file,note
70319,Boljevac,local_unit,5,RS223,Zaječarska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS223,Zaječarska oblast,municipality,,,True,
70327,Bor,local_unit,5,RS221,Borska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS221,Borska oblast,municipality,,,True,
70335,Bosilegrad,local_unit,5,RS228,Pčinjska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS228,Pčinjska oblast,municipality,,,True,
70343,Brus,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,True,
70351,Bujanovac,local_unit,5,RS228,Pčinjska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS228,Pčinjska oblast,municipality,,,True,
70360,Valjevo,local_unit,5,RS212,Kolubarska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast,municipality,,,True,
70378,Varvarin,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,True,
70386,Velika Plana,local_unit,5,RS227,Podunavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS227,Podunavska oblast,municipality,,,True,
70394,Veliko Gradište,local_unit,5,RS222,Braničevska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS222,Braničevska oblast,municipality,,,True,
70408,Vladimirci,local_unit,5,RS213,Mačvanska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS213,Mačvanska oblast,municipality,,,True,
70416,Vladičin Han,local_unit,5,RS228,Pčinjska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS228,Pčinjska oblast,municipality,,,True,
70424,Vlasotince,local_unit,5,RS224,Jablanička oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS224,Jablanička oblast,municipality,,,True,
70432,Vranje,local_unit,5,RS228,Pčinjska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS228,Pčinjska oblast,city_municipality,79057,Grad Vranje,True,
70459,Vrnjačka Banja,local_unit,5,RS217,Raška oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS217,Raška oblast,municipality,,,True,
70467,Gadžin Han,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,True,
70475,Golubac,local_unit,5,RS222,Braničevska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS222,Braničevska oblast,municipality,,,True,
70483,Gornji Milanovac,local_unit,5,RS214,Moravička oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS214,Moravička oblast,municipality,,,True,
70491,Despotovac,local_unit,5,RS215,Pomoravska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast,municipality,,,True,
70505,Dimitrovgrad,local_unit,5,RS226,Pirotska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS226,Pirotska oblast,municipality,,,True,
70513,Doljevac,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,True,
70521,Žabari,local_unit,5,RS222,Braničevska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS222,Braničevska oblast,municipality,,,True,
70530,Žagubica,local_unit,5,RS222,Braničevska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS222,Braničevska oblast,municipality,,,True,
70548,Žitorađa,local_unit,5,RS229,Toplička oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS229,Toplička oblast,municipality,,,True,
70556,Zaječar,local_unit,5,RS223,Zaječarska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS223,Zaječarska oblast,municipality,,,True,
70564,Ivanjica,local_unit,5,RS214,Moravička oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS214,Moravička oblast,municipality,,,True,
70572,Kladovo,local_unit,5,RS221,Borska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS221,Borska oblast,municipality,,,True,
70599,Knić,local_unit,5,RS218,Šumadijska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast,municipality,,,True,
70602,Knjaževac,local_unit,5,RS223,Zaječarska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS223,Zaječarska oblast,municipality,,,True,
