territory_code,territory_name,territory_level,territory_level_order,parent_territory_code,parent_territory_name,country_code,country_name,macro_region_code,macro_region_name,statistical_region_code,statistical_region_name,administrative_district_code,administrative_district_name,local_unit_type,city_group_code,city_group_name,is_in_raw_municipality_file,note
71366,Sevojno,local_unit,5,RS211,Zlatiborska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast,city_municipality,79065,Grad Užice,True,
79022,Grad Niš,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,city,79022,Grad Niš,True,
79049,Grad Požarevac,local_unit,5,RS222,Braničevska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS222,Braničevska oblast,city,79049,Grad Požarevac,True,
79057,Grad Vranje,local_unit,5,RS228,Pčinjska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS228,Pčinjska oblast,city,79057,Grad Vranje,True,
79065,Grad Užice,local_unit,5,RS211,Zlatiborska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast,city,79065,Grad Užice,True,
80012,Ada,local_unit,5,RS124,Severnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS124,Severnobanatska oblast,municipality,,,True,
80039,Alibunar,local_unit,5,RS122,Južnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS122,Južnobanatska oblast,municipality,,,True,
80047,Apatin,local_unit,5,RS121,Zapadnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS121,Zapadnobačka oblast,municipality,,,True,
80055,Bač,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,municipality,,,True,
80063,Bačka Palanka,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,municipality,,,True,
80071,Bačka Topola,local_unit,5,RS125,Severnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS125,Severnobačka oblast,municipality,,,True,
80080,Bački Petrovac,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,municipality,,,True,
80098,Bela Crkva,local_unit,5,RS122,Južnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS122,Južnobanatska oblast,municipality,,,True,
80101,Beočin,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,municipality,,,True,
80110,Bečej,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,municipality,,,True,
80128,Vršac,local_unit,5,RS122,Južnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS122,Južnobanatska oblast,municipality,,,True,
80136,Žabalj,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,municipality,,,True,
80144,Žitište,local_unit,5,RS126,Srednjobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS126,Srednjobanatska oblast,municipality,,,True,
80152,Zrenjanin,local_unit,5,RS126,Srednjobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS126,Srednjobanatska oblast,municipality,,,True,
80179,Inđija,local_unit,5,RS127,Sremska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS127,Sremska oblast,municipality,,,True,
80187,Irig,local_unit,5,RS127,Sremska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS127,Sremska oblast,municipality,,,True,
80195,Kanjiža,local_unit,5,RS124,Severnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS124,Severnobanatska oblast,municipality,,,True,
80209,Kikinda,local_unit,5,RS124,Severnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS124,Severnobanatska oblast,municipality,,,True,
80217,Kovačica,local_unit,5,RS122,Južnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS122,Južnobanatska oblast,municipality,,,True,
80225,Kovin,local_unit,5,RS122,Južnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS122,Južnobanatska oblast,municipality,,,True,
80233,Kula,local_unit,5,RS121,Zapadnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS121,Zapadnobačka oblast,municipality,,,True,
80241,Mali Iđoš,local_unit,5,RS125,Severnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS125,Severnobačka oblast,municipality,,,True,
80250,Nova Crnja,local_unit,5,RS126,Srednjobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS126,Srednjobanatska oblast,municipality,,,True,
80268,Novi Bečej,local_unit,5,RS126,Srednjobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS126,Srednjobanatska oblast,municipality,,,True,
80276,Novi Kneževac,local_unit,5,RS124,Severnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS124,Severnobanatska oblast,municipality,,,True,
80284,Novi Sad,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,city_municipality,89010,Grad Novi Sad,True,Present as a separate local unit in 2018-2019; later consolidated under 89010 Grad Novi Sad.
80292,Opovo,local_unit,5,RS122,Južnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS122,Južnobanatska oblast,municipality,,,True,
80306,Odžaci,local_unit,5,RS121,Zapadnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS121,Zapadnobačka oblast,municipality,,,True,
80314,Pančevo,local_unit,5,RS122,Južnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS122,Južnobanatska oblast,municipality,,,True,
80322,Pećinci,local_unit,5,RS127,Sremska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS127,Sremska oblast,municipality,,,True,
80349,Plandište,local_unit,5,RS122,Južnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS122,Južnobanatska oblast,municipality,,,True,
80357,Ruma,local_unit,5,RS127,Sremska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS127,Sremska oblast,municipality,,,True,
80365,Senta,local_unit,5,RS124,Severnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS124,Severnobanatska oblast,municipality,,,True,
80373,Sečanj,local_unit,5,RS126,Srednjobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS126,Srednjobanatska oblast,municipality,,,True,
80381,Sombor,local_unit,5,RS121,Zapadnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS121,Zapadnobačka oblast,municipality,,,True,
80390,Srbobran,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,municipality,,,True,
80403,Sremska Mitrovica,local_unit,5,RS127,Sremska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS127,Sremska oblast,municipality,,,True,
80411,Sremski Karlovci,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,municipality,,,True,
80420,Stara Pazova,local_unit,5,RS127,Sremska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS127,Sremska oblast,municipality,,,True,
80438,Subotica,local_unit,5,RS125,Severnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS125,Severnobačka oblast,municipality,,,True,
80446,Temerin,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,municipality,,,True,
80454,Titel,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,municipality,,,True,
80462,Vrbas,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,municipality,,,True,
80489,Čoka,local_unit,5,RS124,Severnobanatska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS124,Severnobanatska oblast,municipality,,,True,
80497,Šid,local_unit,5,RS127,Sremska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS127,Sremska oblast,municipality,,,True,
80519,Petrovaradin,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,city_municipality,89010,Grad Novi Sad,True,Present as a separate local unit in 2018-2019; later consolidated under 89010 Grad Novi Sad.
89010,Grad Novi Sad,local_unit,5,RS123,Južnobačka oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,city,89010,Grad Novi Sad,True,Aggregate city row used for later Novi Sad coverage in the source data.
RS,REPUBLIC OF SERBIA,country,1,,,RS,REPUBLIC OF SERBIA,,,,,,,,,,True,
RS1,SRBIJA – SEVER,macro_region,2,RS,REPUBLIC OF SERBIA,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,,,,,,,,True,
RS11,Beogradski region,statistical_region,3,RS1,SRBIJA – SEVER,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS11,Beogradski region,,,,,,True,
RS110,Beogradska oblast,administrative_district,4,RS11,Beogradski region,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS11,Beogradski region,RS110,Beogradska oblast,,,,True,
RS12,Region Vojvodine,statistical_region,3,RS1,SRBIJA – SEVER,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,,,,,,True,
RS121,Zapadnobačka oblast,administrative_district,4,RS12,Region Vojvodine,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS121,Zapadnobačka oblast,,,,True,
RS122,Južnobanatska oblast,administrative_district,4,RS12,Region Vojvodine,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS122,Južnobanatska oblast,,,,True,
RS123,Južnobačka oblast,administrative_district,4,RS12,Region Vojvodine,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS123,Južnobačka oblast,,,,True,
RS124,Severnobanatska oblast,administrative_district,4,RS12,Region Vojvodine,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS124,Severnobanatska oblast,,,,True,
RS125,Severnobačka oblast,administrative_district,4,RS12,Region Vojvodine,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS125,Severnobačka oblast,,,,True,
RS126,Srednjobanatska oblast,administrative_district,4,RS12,Region Vojvodine,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS126,Srednjobanatska oblast,,,,True,
RS127,Sremska oblast,administrative_district,4,RS12,Region Vojvodine,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS12,Region Vojvodine,RS127,Sremska oblast,,,,True,
RS2,SRBIJA – JUG,macro_region,2,RS,REPUBLIC OF SERBIA,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,,,,,,,,True,
RS21,Region Šumadije i Zapadne Srbije,statistical_region,3,RS2,SRBIJA – JUG,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,,,,,,True,
RS211,Zlatiborska oblast,administrative_district,4,RS21,Region Šumadije i Zapadne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast,,,,True,
RS212,Kolubarska oblast,administrative_district,4,RS21,Region Šumadije i Zapadne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast,,,,True,
RS213,Mačvanska oblast,administrative_district,4,RS21,Region Šumadije i Zapadne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS213,Mačvanska oblast,,,,True,
RS214,Moravička oblast,administrative_district,4,RS21,Region Šumadije i Zapadne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS214,Moravička oblast,,,,True,
RS215,Pomoravska oblast,administrative_district,4,RS21,Region Šumadije i Zapadne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast,,,,True,
RS216,Rasinska oblast,administrative_district,4,RS21,Region Šumadije i Zapadne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,,,,True,
RS217,Raška oblast,administrative_district,4,RS21,Region Šumadije i Zapadne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS217,Raška oblast,,,,True,
RS218,Šumadijska oblast,administrative_district,4,RS21,Region Šumadije i Zapadne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast,,,,True,
RS22,Region Južne i Istočne Srbije,statistical_region,3,RS2,SRBIJA – JUG,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,,,,,,True,
RS221,Borska oblast,administrative_district,4,RS22,Region Južne i Istočne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS221,Borska oblast,,,,True,
RS222,Braničevska oblast,administrative_district,4,RS22,Region Južne i Istočne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS222,Braničevska oblast,,,,True,
RS223,Zaječarska oblast,administrative_district,4,RS22,Region Južne i Istočne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS223,Zaječarska oblast,,,,True,
RS224,Jablanička oblast,administrative_district,4,RS22,Region Južne i Istočne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS224,Jablanička oblast,,,,True,
RS225,Nišavska oblast,administrative_district,4,RS22,Region Južne i Istočne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,,,,True,
RS226,Pirotska oblast,administrative_district,4,RS22,Region Južne i Istočne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS226,Pirotska oblast,,,,True,
RS227,Podunavska oblast,administrative_district,4,RS22,Region Južne i Istočne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS227,Podunavska oblast,,,,True,
RS228,Pčinjska oblast,administrative_district,4,RS22,Region Južne i Istočne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS228,Pčinjska oblast,,,,True,
RS229,Toplička oblast,administrative_district,4,RS22,Region Južne i Istočne Srbije,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS229,Toplička oblast,,,,True,
